order_date,shipment_number,bill_to_code,from_site_code,from_site_name,to_site_code,to_site_name,pickup_date,delivery_due_date,price,cost,cost1,cost2,cost3,cost4,delivered_flag,service_flag,margin,order_date_raw,pickup_date_raw,delivery_due_date_raw
2013-12-09,18710.000000,3755.000000,3755.000000,CASCADES ENVIROPAC,4821.000000,JTA CORPORTATION,2013-12-09,2013-12-11,0.0,0.0,0.0,0.0,,0.0,,,0.0,20131209.000000,20131209.000000,20131211.000000
2013-12-09,18712.000000,3755.000000,3755.000000,CASCADES ENVIROPAC,5151.000000,JIT WAREHOUSE,2013-12-10,2013-12-11,0.0,0.0,0.0,0.0,,0.0,,,0.0,20131209.000000,20131210.000000,20131211.000000
2013-01-04,18244.000000,3755.000000,3755.000000,CASCADES ENVIROPAC,5151.000000,JIT WAREHOUSE,2013-01-08,2013-01-09,0.0,0.0,0.0,0.0,,0.0,,,0.0,20130104.000000,20130108.000000,20130109.000000
2013-01-02,18237.000000,3169.000000,5037.000000,OMYA INC.,3169.000000,CONVERDIS,2013-01-04,2013-01-09,0.0,0.0,0.0,0.0,,0.0,,,0.0,20130102.000000,20130104.000000,20130109.000000
2013-01-02,18238.000000,1079.000000,1079.000000,AEP CANADA,4189.000000,W RALSTON CANADA INC.,2013-01-04,2013-01-07,0.0,0.0,0.0,0.0,,0.0,,,0.0,20130102.000000,20130104.000000,20130107.000000
2013-01-03,18239.000000,3755.000000,3755.000000,CASCADES ENVIROPAC,5244.000000,JD SMITH AND SONS,2013-01-03,2013-01-04,0.0,0.0,0.0,0.0,,0.0,,,0.0,20130103.000000,20130103.000000,20130104.000000
2013-01-03,18240.000000,3755.000000,3755.000000,CASCADES ENVIROPAC,5151.000000,JIT WAREHOUSE,2013-01-04,2013-01-07,0.0,0.0,0.0,0.0,,0.0,,,0.0,20130103.000000,20130104.000000,20130107.000000
2013-01-03,18241.000000,1273.000000,1079.000000,AEP CANADA,1273.000000,MULTIPLUS,2013-01-04,2013-01-07,0.0,0.0,0.0,0.0,,0.0,,,0.0,20130103.000000,20130104.000000,20130107.000000
2013-01-03,18242.000000,1424.000000,5192.000000,SANI-METAL,1424.000000,CAPMATIC,2013-01-07,2013-01-08,0.0,0.0,0.0,0.0,,0.0,,,0.0,20130103.000000,20130107.000000,20130108.000000
2013-01-04,18243.000000,3755.000000,3755.000000,CASCADES ENVIROPAC,5244.000000,JD SMITH AND SONS,2013-01-07,2013-01-08,0.0,0.0,0.0,0.0,,0.0,,,0.0,20130104.000000,20130107.000000,20130108.000000
2013-01-22,18270.000000,1424.000000,4925.000000,LP TECHNOLOGIES,4915.000000,CN METAL,2013-01-24,2013-01-24,0.0,0.0,0.0,0.0,,0.0,,,0.0,20130122.000000,20130124.000000,20130124.000000
2013-01-31,18295.000000,1424.000000,4759.000000,AIF INOX,1424.000000,CAPMATIC,2013-02-01,2013-02-01,0.0,0.0,0.0,0.0,,0.0,,,0.0,20130131.000000,20130201.000000,20130201.000000
2013-02-14,18322.000000,1424.000000,4759.000000,AIF INOX,1424.000000,CAPMATIC,2013-02-15,2013-02-15,0.0,0.0,0.0,0.0,,0.0,,,0.0,20130214.000000,20130215.000000,20130215.000000
2013-02-18,18332.000000,3755.000000,3755.000000,CASCADES ENVIROPAC,5151.000000,JIT WAREHOUSE,2013-02-21,2013-02-22,0.0,0.0,0.0,0.0,,0.0,,,0.0,20130218.000000,20130221.000000,20130222.000000
2013-03-01,18359.000000,3755.000000,3755.000000,CASCADES ENVIROPAC,5152.000000,FILECO,2013-03-04,2013-03-05,0.0,0.0,0.0,0.0,,0.0,,,0.0,20130301.000000,20130304.000000,20130305.000000
2013-03-07,18376.000000,1424.000000,4915.000000,CN METAL,1424.000000,CAPMATIC,2013-03-08,2013-03-08,0.0,0.0,0.0,0.0,,0.0,,,0.0,20130307.000000,20130308.000000,20130308.000000
2013-01-04,18245.000000,1079.000000,1079.000000,AEP CANADA,1203.000000,BUNZL CANADA INC,2013-01-09,2013-01-10,0.0,0.0,0.0,0.0,,0.0,,,0.0,20130104.000000,20130109.000000,20130110.000000
2013-01-07,18246.000000,1424.000000,4915.000000,CN METAL,1424.000000,CAPMATIC,2013-01-07,2013-01-07,0.0,0.0,0.0,0.0,,0.0,,,0.0,20130107.000000,20130107.000000,20130107.000000
2013-01-07,18247.000000,3755.000000,3755.000000,CASCADES ENVIROPAC,4557.000000,SUPERIOR PACKAGING,2013-01-11,2013-01-14,0.0,0.0,0.0,0.0,,0.0,,,0.0,20130107.000000,20130111.000000,20130114.000000
2013-01-08,18248.000000,3755.000000,3755.000000,CASCADES ENVIROPAC,5205.000000,CROSS GLOBE GROUP,2013-01-08,2013-01-10,0.0,0.0,0.0,0.0,,0.0,,,0.0,20130108.000000,20130108.000000,20130110.000000
2013-01-08,18249.000000,1424.000000,5059.000000,MISUMI,1424.000000,CAPMATIC,2013-01-08,2013-01-10,0.0,0.0,0.0,0.0,,0.0,,,0.0,20130108.000000,20130108.000000,20130110.000000
2013-01-08,18250.000000,1424.000000,5254.000000,WAINBEE,1424.000000,CAPMATIC,2013-01-08,2013-01-08,0.0,0.0,0.0,0.0,,0.0,,,0.0,20130108.000000,20130108.000000,20130108.000000
