date,order_no,customer,origin,destination,revenue,cost,margin
1998-11-03,5028.000000,,,"ABC METAL FABRICATORS,LTD,1009.000000,WORTHINGTON MFG.",944.35,0.0,944.35
1998-11-03,5029.000000,,,"WORTHINGTON MFG.,1002.000000,ABC METAL FABRICATORS,LTD",2750.0,0.0,2750.0
1998-11-03,5030.000000,,,"CIRO CORP,1005.000000,STEEL FAB",1800.0,0.0,1800.0
1998-11-03,5031.000000,,,"CIRO CORP,1005.000000,STEEL FAB",1341.9,0.0,1341.9
1998-11-03,5032.000000,,,"MLM INDUSTRIES,1007.000000,NYC EXPORTS",333.0,0.0,333.0
1998-11-03,5033.000000,,,"ABC METAL FABRICATORS,LTD,1007.000000,NYC EXPORTS",1980.99,0.0,1980.99
1998-11-12,5034.000000,,,"ABC PLASTICS INC.,1006.000000,ERNIES EXPEDITE SERVICE",0.0,0.0,0.0
1998-11-12,5035.000000,,,"ABC METAL FABRICATORS,LTD,1001.000000,ABC PLASTICS INC.",525.0,0.0,525.0
1998-11-12,5036.000000,,,"CIRO CORP,1007.000000,NYC EXPORTS",1000.0,0.0,1000.0
1998-11-12,5037.000000,,,"ABC METAL FABRICATORS,LTD,1003.000000,XYZ IMPORTS",0.0,0.0,0.0
1998-11-21,5046.000000,,,"29 TH STREET PUBLISHING,1001.000000,ABC PLASTICS INC.,0.000000",,0.0,
1998-11-21,5047.000000,,,"CIRO CORP,1012.000000,29 TH STREET PUBLISHING",0.0,0.0,0.0
1998-11-21,5042.000000,,,"ABC PLASTICS INC.,1005.000000,STEEL FAB",600.0,0.0,600.0
1998-11-21,5045.000000,,,"ABC METAL FABRICATORS,LTD,1004.000000,MLM INDUSTRIES",0.0,0.0,0.0
1998-11-21,5040.000000,,,"WORTHINGTON MFG.,1004.000000,MLM INDUSTRIES,0.000000",,0.0,
1998-11-21,5041.000000,,,"MLM INDUSTRIES,1005.000000,STEEL FAB",900.0,0.0,900.0
1998-11-21,5039.000000,,,"STEEL FAB,1002.000000,ABC METAL FABRICATORS,LTD,0.000000",,0.0,
1998-11-21,5038.000000,,,"WORTHINGTON MFG.,1002.000000,ABC METAL FABRICATORS,LTD",2100.0,0.0,2100.0
1998-11-22,5048.000000,,,"29 TH STREET PUBLISHING,1002.000000,ABC METAL FABRICATORS,LTD",0.0,0.0,0.0
1998-11-23,5050.000000,,,"ABC METAL FABRICATORS,LTD,1005.000000,STEEL FAB",550.0,0.0,550.0
1998-11-23,5051.000000,,,"NYC EXPORTS,1008.000000,CIRO CORP",603.0,0.0,603.0
1998-11-23,5049.000000,,,"ABC PLASTICS INC.,1008.000000,CIRO CORP",3050.0,0.0,3050.0
1998-12-07,5056.000000,,,"ABC METAL FABRICATORS,LTD,1005.000000,STEEL FAB",542.5,0.0,542.5
1998-12-21,5057.000000,,,"29 TH STREET PUBLISHING,1001.000000,ABC PLASTICS INC.",1200.0,0.0,1200.0
1998-12-21,5058.000000,,,"ABC PLASTICS INC.,1007.000000,NYC EXPORTS",900.0,0.0,900.0
1998-12-21,5059.000000,,,"29 TH STREET PUBLISHING,1008.000000,CIRO CORP",1350.0,0.0,1350.0
