order_no	req_pu_date	customer	origin	destination	revenue	cost	margin	distance_km	rate_per_km	cost_per_km	margin_per_km	year
22719	2025-01-01	LICAFLEX	WINNIPEG,MB	LACHINE,PQ	1025.0	0.0	1025.0	2179.959427562978		0.0	0.4702	2025
22705	2025-01-06	EMBALLAGES	AT MIRABEL,PQ	AMOS,PQ	700.0	450.0	250.0	535.8598037647228		0.8398	0.4665	2025
22712	2025-01-06	SCOTTS CANADA LTD MIRAMICHI,NB ST-BONAVENTURE 1,300.00CA 1,000.00 300.00 22713 08/01/2025 SCOTTS CANADA LTD MIRAMICHI,NB ST-BONAVENTURE 1,500.00CA 1,100.00 400.00 22714 09/01/2025 SCOTTS CANADA LTD MIRAMICHI,NB ST-BONAVENTURE 1,300.00CA 1,000.00 300.00 22715 07/01/2025	EMBALLAGES AT MIRABEL,PQ	BELLEDUNE,NB	1035.0	800.0	235.0					2025
22718	2025-01-08	EMBALLAGES	AT MIRABEL,PQ	AMOS,PQ	750.0	550.0	200.0	535.8598037647228		1.0264	0.3732	2025
22716	2025-01-09	EMBALLAGES	AT MIRABEL,PQ	MORROW,GA	2350.0	1650.0	700.0	1921.0065173677		0.8589	0.3644	2025
22720	2025-01-09	CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 250.00CA 145.00 105.00 22721 09/01/2025	SCOTTS CANADA LTD LACHINE,PQ	WINNIPEG,MB	725.0	550.0	175.0					2025
22722	2025-01-10	SCOTTS	DELHI DELHI,ON	L'ORIGNAL,ON	1200.0	1000.0	200.0	665.843894589323		1.5019	0.3004	2025
22723	2025-01-13	SCOTTS CANADA LTD MIRAMICHI,NB ST-BONAVENTURE 1,300.00CA 1,000.00 300.00 22724 15/01/2025 SCOTTS CANADA LTD MIRAMICHI,NB ST-BONAVENTURE 1,500.00CA 1,100.00 400.00 22725 21/01/2025 SCOTTS CANADA LTD MIRAMICHI,NB ST-BONAVENTURE 1,300.00CA 1,000.00 300.00 22726 13/01/2025	EMBALLAGES AT MIRABEL,PQ	HIALEAH,FL	745.0	600.0	145.0					2025
22727	2025-01-13	SCOTTS	QUALI-GRO L'ORIGNAL,ON	DELHI,ON	305.0	241.06	63.94					2025
22728	2025-01-13	SCOTTS CANADA LTD TABUSINTAC,NB ST-BONAVENTURE 1,190.00CA 1,001.12 188.88 22729 14/01/2025	SCOTTS DELHI DELHI,ON	L'ORIGNAL,ON	1200.0	1000.0	200.0					2025
22731	2025-01-15	CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 150.00CA 100.00 50.00 22732 22/01/2025	SCOTTS DELHI DELHI,ON	GATINEAU,PQ	1125.0	850.0	275.0					2025
22733	2025-01-20	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1350.0	1150.0	200.0					2025
22734	2025-01-21	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1350.0	1150.0	200.0					2025
22737	2025-01-21	CAPMATIC	LACHINE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	21.62309753600889		4.6247	2.3123	2025
22735	2025-01-22	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1350.0	1150.0	200.0					2025
22736	2025-01-23	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1350.0	1100.0	250.0					2025
22740	2025-01-27	CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 150.00CA 115.00 35.00 22741 27/01/2025	SCOTTS DELHI DELHI,ON	L'ORIGNAL,ON	1250.0	1000.0	250.0					2025
22749	2025-01-30	CAPMATIC MONTREAL-NORD,PHQEBRON,KY 5,800.00CA 4,800.00 1,000.00 22750 30/01/2025 CAPMATIC MONTREAL-NORD,PHQEBRON,KY 5,800.00CA 4,800.00 1,000.00 22751 31/01/2025 CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 150.00CA 100.00 50.00 22752 31/01/2025	SCOTTS DELHI LACHINE,PQ	DELHI,ON	1200.0	900.0	300.0					2025
23037	2025-01-30	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1000.0	500.0					2025
22717	2025-01-31	EMBALLAGES	AT ATLANTA,GA	MIRABEL,PQ	4850.0	3900.0	950.0	1917.7904502210872		2.0336	0.4954	2025
22754	2025-01-31	SCOTTS	DELHI DELHI,ON	ROCKY VIEW,AB	1195.0	950.0	245.0	3215.6425268379803		0.2954	0.0762	2025
22753	2025-02-03	SCOTTS	CANADA LTD LACHINE,PQ	WINNIPEG,MB	1850.0	1600.0	250.0					2025
22755	2025-02-03	CAPMATIC MONTREAL-NORD,PSQT-LAURENT,PQ 150.00CA 115.00 35.00 22756 04/02/2025 SCOTTS CANADA LTD NOTRE-DAME-DES-ST-BONAVENTURE 795.00CA 675.00 120.00 22757 05/02/2025	SCOTTS DELHI DELHI,ON	ROCKY VIEW,AB	625.0	450.0	175.0					2025
22758	2025-02-07	SCOTTS DELHI DELHI,ON ST-BONAVENTURE 2,150.00CA 1,400.00 750.00 22759 07/02/2025 SCOTTS DELHI DELHI,ON ST-BONAVENTURE 2,150.00CA 1,750.00 400.00 22760 07/02/2025 SCOTTS DELHI DELHI,ON ST-BONAVENTURE 2,150.00CA 1,400.00 750.00 22761 06/02/2025	CAPMATIC ST-LAURENT,PQ	MONTREAL-NORD,PQ	225.0	130.0	95.0					2025
22776	2025-02-07	SCOTTS	CANADA LTD LACHINE,PQ	L'ORIGNAL,ON	495.0	300.0	195.0					2025
22777	2025-02-10	SCOTTS	DELHI DELHI,ON	ROCKY VIEW,AB	1295.0	1110.0	185.0	3215.6425268379803		0.3452	0.0575	2025
22778	2025-02-10	SCOTTS DELHI DELHI,ON ST-BONAVENTURE 2,150.00CA 1,500.00 650.00 22779 12/02/2025	SCOTTS QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1350.0	1100.0	250.0					2025
22782	2025-02-18	SCOTTS DELHI DELHI,ON ST-BONAVENTURE 2,150.00CA 1,400.00 750.00 22783 18/02/2025 SCOTTS DELHI DELHI,ON ST-BONAVENTURE 2,150.00CA 1,750.00 400.00 22784 18/02/2025 SCOTTS DELHI DELHI,ON ST-BONAVENTURE 2,150.00CA 1,750.00 400.00 22785 18/02/2025 ENGRAIS McINNES	STANSTEAD,PQ	BURLINGTON,ON	750.0	600.0	150.0	770.1432823043464		0.7791	0.1948	2025
22780	2025-02-19	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1350.0	1100.0	250.0					2025
22794	2025-02-21	SCOTTS DELHI DELHI,ON ST-BONAVENTURE 2,150.00CA 1,650.00 500.00 22795 07/03/2025 SCOTTS DELHI DELHI,ON ST-BONAVENTURE 2,150.00CA 1,650.00 500.00 22796 14/02/2025 SCOTTS CANADA LTD ST-BONAVENTURE MIRAMICHI,NB 625.00CA 450.00 175.00 22797 18/02/2025	CAPMATIC DORVAL,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0					2025
22804	2025-02-26	SCOTTS DELHI DELHI,ON ST-BONAVENTURE 2,150.00CA 1,650.00 500.00 22805 26/02/2025 SCOTTS DELHI DELHI,ON ST-BONAVENTURE 2,150.00CA 1,750.00 400.00 22806 20/02/2025 SCOTTS CANADA LTD MIRAMICHI,NB ST-BONAVENTURE 1,300.00CA 1,000.00 300.00 22807 25/02/2025	SCOTTS QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1350.0	1150.0	200.0					2025
