date,order_no,customer,origin,destination,revenue,cost,margin
1998-11-03,5028.000000,,,"1009.000000,WORTHINGTON MFG.",944.35,0.0,944.35
1998-11-03,5029.000000,,,"1002.000000,ABC METAL FABRICATORS,LTD",2750.0,0.0,2750.0
1998-11-03,5030.000000,,,"1005.000000,STEEL FAB",1800.0,0.0,1800.0
1998-11-03,5031.000000,,,"1005.000000,STEEL FAB",1341.9,0.0,1341.9
1998-11-03,5032.000000,,,"1007.000000,NYC EXPORTS",333.0,0.0,333.0
1998-11-03,5033.000000,,,"1007.000000,NYC EXPORTS",1980.99,0.0,1980.99
1998-11-12,5034.000000,,,"1006.000000,ERNIES EXPEDITE SERVICE",0.0,0.0,0.0
1998-11-12,5035.000000,,,"1001.000000,ABC PLASTICS INC.",525.0,0.0,525.0
1998-11-12,5036.000000,,,"1007.000000,NYC EXPORTS",1000.0,0.0,1000.0
1998-11-12,5037.000000,,,"1003.000000,XYZ IMPORTS",0.0,0.0,0.0
1998-11-21,5038.000000,,,"1002.000000,ABC METAL FABRICATORS,LTD",2100.0,0.0,2100.0
1998-11-21,5039.000000,,,"1002.000000,ABC METAL FABRICATORS,LTD,0.000000",,0.0,
1998-11-21,5040.000000,,,"1004.000000,MLM INDUSTRIES,0.000000",,0.0,
1998-11-21,5041.000000,,,"1005.000000,STEEL FAB",900.0,0.0,900.0
1998-11-21,5042.000000,,,"1005.000000,STEEL FAB",600.0,0.0,600.0
1998-11-21,5045.000000,,,"1004.000000,MLM INDUSTRIES",0.0,0.0,0.0
1998-12-07,5056.000000,,,"1005.000000,STEEL FAB",542.5,0.0,542.5
1998-11-21,5047.000000,,,"1012.000000,29 TH STREET PUBLISHING",0.0,0.0,0.0
1998-11-21,5046.000000,,,"1001.000000,ABC PLASTICS INC.,0.000000",,0.0,
1998-11-22,5048.000000,,,"1002.000000,ABC METAL FABRICATORS,LTD",0.0,0.0,0.0
1998-11-23,5049.000000,,,"1008.000000,CIRO CORP",3050.0,0.0,3050.0
1998-11-23,5050.000000,,,"1005.000000,STEEL FAB",550.0,0.0,550.0
1998-11-23,5051.000000,,,"1008.000000,CIRO CORP",603.0,0.0,603.0
1999-01-19,5419.000000,,,"1048.000000,CADROPORTE",350.0,0.0,350.0
1998-12-21,5057.000000,,,"1001.000000,ABC PLASTICS INC.",1200.0,0.0,1200.0
1999-01-18,5062.000000,,,"1018.000000,JOHN S. PFARR",350.0,0.0,350.0
1999-08-13,10828.000000,,,"1122.000000,PETRO CANADA",0.0,0.0,0.0
1998-12-21,5058.000000,,,"1007.000000,NYC EXPORTS",900.0,0.0,900.0
1998-12-21,5059.000000,,,"1008.000000,CIRO CORP",1350.0,0.0,1350.0
1998-12-21,5060.000000,,,"1009.000000,WORTHINGTON MFG.",2000.0,0.0,2000.0
1999-01-19,5417.000000,,,"1043.000000,TAKE TWO TEXTILES",175.0,0.0,175.0
1999-08-13,10829.000000,,,"1080.000000,DISTRIBUTION IN QC. LEGGI TRANSPORT",0.0,0.0,0.0
1999-01-18,5063.000000,,,"1021.000000,BRADLEES DISTRIBUTION",350.0,0.0,350.0
1999-01-18,5065.000000,,,"1023.000000,PECROW INC.",350.0,0.0,350.0
1999-01-18,5066.000000,,,"1016.000000,MAISLINER",250.0,0.0,250.0
1999-01-18,5068.000000,,,"1028.000000,NOGA DAIRY",1100.0,0.0,1100.0
1999-01-18,5069.000000,,,"1030.000000,APOLLO FURNITURE",200.0,0.0,200.0
1999-01-18,5072.000000,,,"1033.000000,RECOJET INC.",250.0,0.0,250.0
1999-01-19,5418.000000,,,"1046.000000,SUNBELT",250.0,0.0,250.0
1999-01-19,5420.000000,,,"1052.000000,VAN WATERS & ROGERS  (MA)",1100.0,0.0,1100.0
1999-01-20,5421.000000,,,"1055.000000,PVC DESIGN",89.0,0.0,89.0
1999-01-20,5422.000000,,,"1057.000000,B.E. MCGEE INC.",400.0,0.0,400.0
1999-01-20,5423.000000,,,"1060.000000,PRESSMET CORP.",250.0,0.0,250.0
1999-01-20,5424.000000,,,"1016.000000,MAISLINER",250.0,0.0,250.0
1999-01-20,5425.000000,,,"1063.000000,SAFETY FIRST (CANADA)",200.0,0.0,200.0
1999-01-21,5433.000000,,,"1078.000000,BUSH VACUUM",38.0,0.0,38.0
1999-01-25,5450.000000,,,"1103.000000,POSTE CANADA",38.0,0.0,38.0
1999-01-26,5468.000000,,,"1128.000000,JIM FIELD",450.0,0.0,450.0
1999-01-29,5493.000000,,,"1013.000000,LOGITRANS",150.0,0.0,150.0
1999-01-29,5494.000000,,,"1167.000000,UNISOURCE (QUEBEC)",984.4,0.0,984.4
1999-01-20,5426.000000,,,"1066.000000,PLACAGE DE LUXE",500.0,0.0,500.0
1999-01-20,5427.000000,,,"1069.000000,BUCKMAN",75.0,0.0,75.0
1999-01-20,5428.000000,,,"1072.000000,KRAFT",80.0,0.0,80.0
1999-01-20,5429.000000,,,"1055.000000,PVC DESIGN",53.0,0.0,53.0
1999-01-20,5430.000000,,,"1033.000000,RECOJET INC.",300.0,0.0,300.0
1999-01-20,5431.000000,,,"1033.000000,RECOJET INC.",300.0,0.0,300.0
1999-01-20,5432.000000,,,"1076.000000,MACEYS (BROOKLYN)",1200.0,0.0,1200.0
1999-01-21,5434.000000,,,"1016.000000,MAISLINER",300.0,0.0,300.0
1999-01-21,5435.000000,,,"1080.000000,DISTRIBUTION IN QC.",1668.0,0.0,1668.0
1999-01-21,5436.000000,,,"1052.000000,VAN WATERS & ROGERS  (MA)",1100.0,0.0,1100.0
1999-01-21,5437.000000,,,"1082.000000,????",550.0,0.0,550.0
