activity_report	col_1	col_2
(By Requested Pickup date)		
	900.00	100.00
	750.00	125.00
	750.00	125.00
	0.00	1,000.00
	900.00	100.00
	900.00	100.00
	900.00	100.00
	215.00	78.75
	100.00	87.50
	75.00	65.63
	50.00	43.75
	150.00	131.25
	2,000.00	400.00
	900.00	100.00
	50.00	43.75
	900.00	100.00
	50.00	43.75
	0.00	0.08
	900.00	162.50
	750.00	156.25
	1,400.00	506.25
	525.00	162.50
	125.00	109.38
	2,800.00	400.00
	1,000.00	300.00
	1,350.00	150.00
	800.00	200.00
	309.57	65.43
	950.00	250.00
	125.00	80.00
	100.00	87.50
	425.00	100.00
	900.00	300.00
	1,000.00	300.00
	475.00	118.75
	750.00	225.00
	6,500.00	531.25
	50.00	43.75
	2,500.00	300.00
	50.00	43.75
	1,600.00	200.00
	50.00	43.75
	550.29	54.71
	125.00	109.38
	200.00	175.00
	1,050.00	445.00
	1,250.00	250.00
	1,000.00	400.00
	248.00	127.00
(By Requested Pickup date)		
	2,000.00	1,000.00
	235.00	215.00
	115.00	35.00
	7,627.50	822.50
	1,400.00	300.00
	800.00	175.00
	115.00	35.00
	250.00	125.00
	1,150.00	400.00
	226.00	74.00
	0.00	0.04
	980.00	245.00
	1,250.00	250.00
	130.00	20.00
	1,250.00	250.00
	1,150.00	250.00
	190.00	125.00
	2,300.00	500.00
	175.00	75.00
	1,250.00	250.00
	1,000.00	300.00
	2,500.00	700.00
	931.68	418.32
	741.23	358.77
	1,376.97	599.03
	781.53	318.47
	800.00	175.00
	1,000.00	300.00
	1,050.00	250.00
	1,050.00	250.00
	1,150.00	250.00
	100.00	50.00
	6,500.00	750.00
	675.00	175.00
	145.00	80.00
	165.00	110.00
	1,150.00	225.00
	115.00	35.00
	250.00	185.00
	0.00	1,027.50
	1,000.00	400.00
	1,050.00	250.00
	1,050.00	350.00
	1,200.00	200.00
	1,050.00	350.00
	1,500.00	200.00
	1,289.48	460.52
	1,300.00	300.00
	240.00	150.00
(By Requested Pickup date)		
	175.00	110.00
	7,100.00	700.00
	115.00	35.00
	205.00	140.00
	1,100.00	300.00
	1,200.00	200.00
	1,100.00	300.00
	1,100.00	300.00
	6,597.66	652.34
	1,150.00	250.00
	1,000.00	275.00
	450.00	145.00
	1,250.00	250.00
	1,150.00	250.00
	1,100.00	300.00
	1,100.00	300.00
	1,050.00	350.00
	1,300.00	300.00
	1,100.00	300.00
	1,300.00	200.00
	130.00	20.00
	160.00	95.00
	1,100.00	300.00
	1,300.00	300.00
	1,150.00	250.00
	1,100.00	300.00
	1,150.00	250.00
	1,100.00	300.00
	400.00	85.00
	1,100.00	300.00
	1,100.00	300.00
	1,100.00	300.00
	1,100.00	300.00
	1,200.00	300.00
	1,100.00	300.00
	3,300.00	350.00
	3,200.00	450.00
	1,100.00	300.00
	1,150.00	250.00
	1,100.00	300.00
	1,300.00	300.00
	205.00	140.00
	500.00	93.75
	3,100.00	550.00
	1,300.00	300.00
	1,300.00	300.00
	130.00	20.00
	115.00	35.00
	1,100.00	300.00
(By Requested Pickup date)		
	1,100.00	300.00
	330.00	60.00
	475.00	75.00
	3,400.00	350.00
	1,100.00	300.00
	175.00	110.00
	1,100.00	300.00
	1,100.00	300.00
	1,100.00	300.00
	3,400.00	350.00
	160.00	95.00
	1,300.00	350.00
	1,250.00	400.00
	235.00	170.00
	1,050.00	200.00
	1,485.63	364.37
	1,100.00	300.00
	950.00	400.00
	950.00	175.00
	950.00	175.00
	950.00	175.00
	950.00	175.00
	1,000.00	200.00
	950.00	175.00
	950.00	175.00
	950.00	175.00
	800.00	200.00
	175.00	110.00
