Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 4
Report Period: 01/01/2022	12/31/2022		
			---- Home Cur ----
Order No Req P/U	Customer	Origin Destination Revenue	Cost Margin
21401 04/01/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,000.00 CA	900.00 100.00
21405 05/01/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 875.00 CA	750.00 125.00
21407 11/01/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 875.00 CA	750.00 125.00
21408 06/01/2022	CRISTAL IINOVATION	ST-BRUNO-DE-MONTSATR-BVRILULNEO-DE-MONTARV1I,L0L0E0.00 CA	0.00 1,000.00
21409 11/01/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,000.00 CA	900.00 100.00
21410 26/01/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,000.00 CA	900.00 100.00
21411 25/01/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,000.00 CA	900.00 100.00
21412 10/01/2022	CAPMATIC	MONTREAL-NORD,PBQARRIE,ON 293.75 CA	215.00 78.75
21413 14/01/2022	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 187.50 CA	100.00 87.50
21414 18/01/2022	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 140.63 CA	75.00 65.63
21415 20/01/2022	CAPMATIC	DORVAL,PQ MONTREAL-NORD,PQ 93.75 CA	50.00 43.75
21416 24/01/2022	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 281.25 CA	150.00 131.25
21417 27/01/2022	ENVIREM ORGANICS	MIRAMICHI,NB VIRGIL,ON 2,400.00 CA	2,000.00 400.00
21418 01/02/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,000.00 CA	900.00 100.00
21419 31/01/2022	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 93.75 CA	50.00 43.75
21420 02/02/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,000.00 CA	900.00 100.00
21421 01/02/2022	CAPMATIC	LACHINE,PQ MONTREAL-NORD,PQ 93.75 CA	50.00 43.75
21422 31/01/2022	CAPMATIC	MONTREAL-NORD,PMQONTREAL-NORD,PQ 0.08 CA	0.00 0.08
21423 07/02/2022	EMBALLAGES AT	MIRABEL,PQ SAINT-QUENTIN,NB 1,062.50 CA	900.00 162.50
21424 09/02/2022	EMBALLAGES AT	SAINT-QUENTIN,NB MIRABEL,PQ 906.25 CA	750.00 156.25
21425 08/02/2022	CASCADES SONOCO INC.	BERTHIERVILLE,PQBIRMINGHAM,AL 1,906.25 CA	1,400.00 506.25
21426 07/02/2022	CASCADES SONOCO INC.	BERTHIERVILLE,PQRICHMOND,VA 687.50 CA	525.00 162.50
21427 09/02/2022	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 234.38 CA	125.00 109.38
21428 14/02/2022	GMJ LOGISTIQUE	RED DEER,AB MONTREAL-EST,PQ 3,200.00 CA	2,800.00 400.00
21429 10/02/2022	SCOTTS CANADA LTD	MIRAMICHI,NB VERCHERES,PQ 1,300.00 CA	1,000.00 300.00
21430 11/02/2022	EMBALLAGES AT	MIRABEL,PQ NEEPAWA,MB 1,500.00 CA	1,350.00 150.00
21431 14/02/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,000.00 CA	800.00 200.00
21432 14/02/2022	EMBALLAGES AT	CAMBRIDGE,ON MIRABEL,PQ 375.00 CA	309.57 65.43
21433 15/02/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,200.00 CA	950.00 250.00
21434 15/02/2022	GMJ LOGISTIQUE	SHERBROOKE,PQ MONTREAL-EST,PQ 205.00 CA	125.00 80.00
21435 15/02/2022	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 187.50 CA	100.00 87.50
21436 16/02/2022	EMBALLAGES AT	MIRABEL,PQ ST-JOHN,NB 525.00 CA	425.00 100.00
21437 28/02/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,200.00 CA	900.00 300.00
21438 22/02/2022	SCOTTS CANADA LTD	MIRAMICHI,NB VERCHERES,PQ 1,300.00 CA	1,000.00 300.00
21439 18/02/2022	CASCADES SONOCO INC.	BERTHIERVILLE,PQBARNWELL,SC 593.75 CA	475.00 118.75
21440 18/02/2022	SCOTTS CANADA LTD	ST-BONAVENTURE BURLINGTON,ON 975.00 CA	750.00 225.00
21441 28/02/2022	CAPMATIC	MONTREAL-NORD,PTQUSTIN,CA 7,031.25 CA	6,500.00 531.25
21442 21/02/2022	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 93.75 CA	50.00 43.75
21443 07/04/2022	SCOTTS CANADA LTD	ST-LUDGER DE MILODTELHI,ON 2,800.00 CA	2,500.00 300.00
21444 24/02/2022	CAPMATIC	DORVAL,PQ MONTREAL-NORD,PQ 93.75 CA	50.00 43.75
21445 16/03/2022	SCOTTS CANADA LTD	MIRAMICHI,NB L'ORIGNAL,ON 1,800.00 CA	1,600.00 200.00
21446 25/02/2022	CAPMATIC	LACHINE,PQ MONTREAL-NORD,PQ 93.75 CA	50.00 43.75
21447 01/03/2022	EMBALLAGES AT	HOT SPRINGS,AR MIRABEL,PQ 605.00 CA	550.29 54.71
21448 01/03/2022	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 234.38 CA	125.00 109.38
21449 07/03/2022	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 375.00 CA	200.00 175.00
21450 09/03/2022	THEATRIXX TECHNOLOGIES	MONTREAL,PQ WORCESTER,MA 1,495.00 CA	1,050.00 445.00
21451 15/03/2022	SCOTTS CANADA LTD	MIRAMICHI,NB VERCHERES,PQ 1,500.00 CA	1,250.00 250.00
21452 23/03/2022	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,400.00 CA	1,000.00 400.00
21453 10/03/2022	THEATRIXX TECHNOLOGIES	MONTREAL,PQ ST-NICOLAS,PQ 375.00 CA	248.00 127.00
