order_no	req_pu_date	customer	origin	destination	revenue	cost	margin
22017	2024-01-04	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	225.0	130.0	95.0
22018	2024-01-09	CAPMATIC			240.0	130.0	110.0
22019	2024-01-09	CAPMATIC	LACHINE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0
22020	2024-01-10	SCOTTS CANADA LTD			1300.0	1000.0	300.0
22021	2024-01-11	SCOTTS CANADA LTD			1300.0	1000.0	300.0
22022	2024-01-09	SCOTTS CANADA LTD			485.0	359.52	125.48
22023	2024-01-12	SCOTTS CANADA LTD			950.0	750.0	200.0
22024	2024-01-11	SCOTTS CANADA LTD			725.0	525.0	200.0
22025	2024-01-16	EMBALLAGES AT	MIRABEL,PQ	AMOS,PQ	650.0	325.0	325.0
22026	2024-01-16	EMBALLAGES AT	MIRABEL,PQ	ST-FÉLICIEN,PQ	425.0	341.7	83.3
22027	2024-01-16	DEXTER	LONGUEUIL,PQ	TILLSONBURGH,ON	1750.0	1400.0	350.0
22028	2024-01-23	SCOTTS CANADA LTD			1475.0	1175.0	300.0
22029	2024-01-23	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0
22030	2024-01-26	EMBALLAGES AT	MIRABEL,PQ	COURCELLES,PQ	220.0	160.0	60.0
22031	2024-01-29	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	225.0	130.0	95.0
22033	2024-02-01	CAPMATIC			6050.0	5000.0	1050.0
22034	2024-02-02	CAPMATIC			6050.0	5000.0	1050.0
22035	2024-02-05	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0
22037	2024-02-07	SCOTTS CANADA LTD			2400.0	2100.0	300.0
22038	2024-02-07	CAPMATIC	DORVAL,PQ	MONTREAL-NORD,PQ	225.0	175.0	50.0
22039	2024-02-20	SCOTTS CANADA LTD			2400.0	2100.0	300.0
22042	2024-02-14	DEXTER	LONGUEUIL,PQ	TILLSONBURGH,ON	1400.0	1100.0	300.0
