Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 3	Unnamed: 4
Report Period: 01/01/2024	12/31/2024			
				---- Home Cur ----
Order No Req P/U	Customer	Origin Destination	Revenue	Cost Margin
22174 31/05/2024	CAPMATIC	MONTREAL-NORD,PBQOISBRIAND,PQ	450.00 CA	250.00 200.00
22175 03/06/2024	CAPMATIC	DORVAL,PQ MONTREAL-NORD,PQ	225.00 CA	145.00 80.00
22176 15/06/2024	THEATRIXX TECHNOLOGIES	LAS VEGAS,NV MONTREAL,PQ	11,900.00 CA	10,750.00 1,150.00
22177 03/06/2024	SCOTTS CANADA LTD	MIRAMICHI,NB BOUCHERVILLE,PQ	1,450.00 CA	1,050.00 400.00
22178 06/06/2024	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,500.00 CA	1,100.00 400.00
22179 03/06/2024	DEXTER	LONGUEUIL,PQ DRUMMONDVILLE,PQ	850.00 CA	600.00 250.00
22180 07/06/2024	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
22181 04/06/2024	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	225.00 CA	130.00 95.00
22182 07/06/2024	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	397.07 CA	328.07 69.00
22183 10/06/2024	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
22185 14/06/2024	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,100.00 200.00
22186 10/06/2024	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	300.00 CA	175.00 125.00
22187 10/06/2024	ENGRAIS McINNES	GOWANSTOWN,ONSTANSTEAD,PQ	1,450.00 CA	1,100.00 350.00
22188 12/06/2024	ENGRAIS McINNES	GOWANSTOWN,ONSTANSTEAD,PQ	1,450.00 CA	1,100.00 350.00
