order_no	req_pu_date	customer	origin	destination	revenue	cost	margin	distance_km	revenue_per_km	cost_per_km	margin_per_km
22017	2024-01-04	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	225.0	130.0	95.0	18.765	11.9904	6.9278	5.0626
22018	2024-01-09	CAPMATIC			240.0	130.0	110.0				
22019	2024-01-09	CAPMATIC	LACHINE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	41.382	3.6248	2.4165	1.2083
22020	2024-01-10	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22021	2024-01-11	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22022	2024-01-09	SCOTTS CANADA LTD			485.0	359.52	125.48				
22023	2024-01-12	SCOTTS CANADA LTD			950.0	750.0	200.0				
22024	2024-01-11	SCOTTS CANADA LTD			725.0	525.0	200.0				
22025	2024-01-16	EMBALLAGES AT	MIRABEL,PQ	AMOS,PQ	650.0	325.0	325.0	535.1762720094367	1.2146	0.6073	0.6073
22026	2024-01-16	EMBALLAGES AT	MIRABEL,PQ	ST-FÉLICIEN,PQ	425.0	341.7	83.3	432.036679862751	0.9837	0.7909	0.1928
22027	2024-01-16	DEXTER	LONGUEUIL,PQ	TILLSONBURGH,ON	1750.0	1400.0	350.0	1350.0861919124952	1.2962	1.037	0.2592
22028	2024-01-23	SCOTTS CANADA LTD			1475.0	1175.0	300.0				
22029	2024-01-23	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	18.765	7.9936	5.3291	2.6645
22030	2024-01-26	EMBALLAGES AT	MIRABEL,PQ	COURCELLES,PQ	220.0	160.0	60.0	288.1398377506441	0.7635	0.5553	0.2082
22031	2024-01-29	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	225.0	130.0	95.0	18.765	11.9904	6.9278	5.0626
22033	2024-02-01	CAPMATIC			6050.0	5000.0	1050.0				
22034	2024-02-02	CAPMATIC			6050.0	5000.0	1050.0				
22035	2024-02-05	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	18.765	7.9936	5.3291	2.6645
22037	2024-02-07	SCOTTS CANADA LTD			2400.0	2100.0	300.0				
22038	2024-02-07	CAPMATIC	DORVAL,PQ	MONTREAL-NORD,PQ	225.0	175.0	50.0	43.72	5.1464	4.0027	1.1436
22039	2024-02-20	SCOTTS CANADA LTD			2400.0	2100.0	300.0				
22042	2024-02-14	DEXTER	LONGUEUIL,PQ	TILLSONBURGH,ON	1400.0	1100.0	300.0	1350.0861919124952	1.037	0.8148	0.2222
22043	2024-02-15	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	18.765	7.9936	5.3291	2.6645
22044	2024-02-22	SCOTTS CANADA LTD			2400.0	2100.0	300.0				
22045	2024-02-15	SCOTTS CANADA LTD			600.0	475.0	125.0				
22046	2024-02-16	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	250.0	145.0	105.0	18.765	13.3227	7.7272	5.5955
22047	2024-02-20	EMBALLAGES AT	MIRABEL,PQ	RIVIERE-HEVA,PQ	350.0	250.0	100.0	511.1775533699631	0.6847	0.4891	0.1956
22048	2024-02-22	CAPMATIC			165.0	115.0	50.0				
22049	2024-02-22	CAPMATIC	TERREBONNE,PQ	MONTREAL-NORD,PQ	165.0	115.0	50.0	17.134237980667216	9.6298	6.7117	2.9181
22050	2024-02-22	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	18.765	7.9936	5.3291	2.6645
22051	2024-02-23	SCOTTS CANADA LTD			2400.0	2100.0	300.0				
22052	2024-02-27	EMBALLAGES AT			5.0	290.0	105.0				
22053	2024-02-29	SCOTTS CANADA LTD	LACHINE,PQ	DELHI,ON	625.0	450.0	175.0	738.0103549207273	0.8469	0.6097	0.2371
22054	2024-02-29	CAPMATIC	LACHINE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	41.382	3.6248	2.4165	1.2083
22055	2024-03-05	SCOTTS CANADA LTD			2400.0	2000.0	400.0				
22056	2024-03-01	ENGRAIS McINNES	STANSTEAD,PQ	BURLINGTON,ON	1150.0	950.0	200.0	770.2409860166127	1.493	1.2334	0.2597
22057	2024-03-13	CAPMATIC			4000.0	3000.0	1000.0				
22058	2024-03-08	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22059	2024-03-12	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22060	2024-03-23	CAPMATIC	PHILADELPHIA,PA	MONTREAL-NORD,PQ	3750.0	3000.0	750.0	755.492	4.9637	3.9709	0.9927
22061	2024-03-07	CAPMATIC	ST-LAURENT ,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	16.2226435584249	9.2463	6.1642	3.0821
22062	2024-03-08	SCOTTS CANADA LTD			865.0	675.0	190.0				
22063	2024-03-11	DEXTER	LONGUEUIL,PQ	TRURO,NS	1375.0	1100.0	275.0	1141.781	1.2043	0.9634	0.2409
22064	2024-03-12	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	18.765	7.9936	5.3291	2.6645
22065	2024-03-14	SCOTTS CANADA LTD	LACHINE,PQ	DELHI,ON	465.0	384.38	80.62	738.0103549207273	0.6301	0.5208	0.1092
22066	2024-03-15	SCOTTS CANADA LTD			575.0	550.3	24.7				
22067	2024-03-19	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	150.0	115.0	35.0	18.765	7.9936	6.1284	1.8652
22068	2024-03-20	DEXTER			1150.0	900.0	250.0				
22069	2024-03-19	EMBALLAGES AT	MIRABEL,PQ	AMOS,PQ	750.0	550.0	200.0	535.1762720094367	1.4014	1.0277	0.3737
22070	2024-03-22	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22071	2024-03-20	CAPMATIC	ST-LAURENT ,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	16.2226435584249	9.2463	6.1642	3.0821
22072	2024-03-20	SCOTTS CANADA LTD			875.0	600.0	275.0				
22073	2024-03-20	CAPMATIC	LAVAL,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	11.539	12.9994	8.6663	4.3331
22074	2024-03-21	SCOTTS CANADA LTD			2400.0	2000.0	400.0				
22075	2024-03-21	SCOTTS CANADA LTD	MIRAMICHI,NB	L'ORIGNAL,ON	1450.0	1150.0	300.0	925.469	1.5668	1.2426	0.3242
22076	2024-03-22	SCOTTS CANADA LTD	LACHINE,PQ	DELHI,ON	675.0	500.0	175.0	738.0103549207273	0.9146	0.6775	0.2371
22077	2024-03-26	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22078	2024-03-27	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22079	2024-03-27	SCOTTS CANADA LTD			2400.0	2000.0	400.0				
22080	2024-04-03	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22081	2024-04-05	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22082	2024-03-28	CAPMATIC			150.0	115.0	35.0				
22083	2024-03-28	CAPMATIC	TERREBONNE,PQ	MONTREAL-NORD,PQ	265.0	145.0	120.0	17.134237980667216	15.4661	8.4626	7.0035
22085	2024-04-03	CAPMATIC			2200.0	1700.0	500.0				
22086	2024-04-02	SCOTTS CANADA LTD			2400.0	2100.0	300.0				
22087	2024-04-03	THEATRIXX TECHNOLOGIES	MONTREAL,PQ	LAS VEGAS,NV	7500.0	6500.0	1000.0	4166.322	1.8001	1.5601	0.24
22088	2024-04-03	SCOTTS CANADA LTD			385.0	325.0	60.0				
22089	2024-04-04	CAPMATIC			235.0	130.0	105.0				
22090	2024-04-08	SCOTTS CANADA LTD			2400.0	2100.0	300.0				
22091	2024-04-10	SCOTTS CANADA LTD			2400.0	2100.0	300.0				
22092	2024-04-10	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22095	2024-04-11	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22096	2024-04-12	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22097	2024-04-05	SCOTTS CANADA LTD			385.0	325.0	60.0				
22098	2024-04-05	SCOTTS CANADA LTD	DELHI,ON	ROCKY VIEW,AB	1200.0	1000.0	200.0	3209.520166053831	0.3739	0.3116	0.0623
22099	2024-04-08	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	250.0	145.0	105.0	18.765	13.3227	7.7272	5.5955
22100	2024-04-10	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	250.0	145.0	105.0	18.765	13.3227	7.7272	5.5955
22101	2024-04-10	DEXTER	LONGUEUIL,PQ	THURSO,PQ	875.0	675.0	200.0	174.878	5.0035	3.8598	1.1437
22102	2024-04-15	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22103	2024-04-16	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22104	2024-04-17	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22105	2024-04-18	SCOTTS CANADA LTD			1200.0	900.0	300.0				
22106	2024-04-18	THEATRIXX TECHNOLOGIES	LAS VEGAS,NV	MONTREAL,PQ	7072.0	6259.9	812.1	4169.084	1.6963	1.5015	0.1948
22107	2024-04-18	SCOTTS CANADA LTD			2400.0	2100.0	300.0				
22108	2024-04-15	SCOTTS CANADA LTD			2400.0	2100.0	300.0				
22109	2024-04-16	SCOTTS CANADA LTD			2400.0	2000.0	400.0				
22110	2024-04-15	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	18.765	7.9936	5.3291	2.6645
22111	2024-04-16	CAPMATIC			240.0	130.0	110.0				
22112	2024-04-16	EMBALLAGES AT	MIRABEL,PQ	AMOS,PQ	750.0	550.0	200.0	535.1762720094367	1.4014	1.0277	0.3737
22113	2024-04-16	SCOTTS CANADA LTD	LACHINE,PQ	DELHI,ON	975.0	750.0	225.0	738.0103549207273	1.3211	1.0162	0.3049
22114	2024-04-22	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22117	2024-04-23	SCOTTS CANADA LTD			2400.0	2100.0	300.0				
22118	2024-04-25	SCOTTS CANADA LTD			2400.0	2100.0	300.0				
22119	2024-04-17	ENGRAIS McINNES	STANSTEAD,PQ	DRUMMONDVILLE,PQ	435.0	355.0	80.0	128.523	3.3846	2.7622	0.6225
22120	2024-04-18	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	18.765	7.9936	5.3291	2.6645
22121	2024-04-22	SCOTTS CANADA LTD			2400.0	2000.0	400.0				
22122	2024-04-26	SCOTTS CANADA LTD	MIRAMICHI,NB	L'ORIGNAL,ON	1450.0	1150.0	300.0	925.469	1.5668	1.2426	0.3242
22123	2024-04-25	SCOTTS CANADA LTD	MIRAMICHI,NB	L'ORIGNAL,ON	1450.0	1150.0	300.0	925.469	1.5668	1.2426	0.3242
22124	2024-04-23	CAPMATIC	FAIRFIELD,NJ	MONTREAL-NORD,PQ	1900.0	1400.0	500.0	633.756284243238	2.998	2.2091	0.7889
22125	2024-04-26	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	18.765	7.9936	5.3291	2.6645
22126	2024-04-26	CAPMATIC			7950.0	6800.0	1150.0				
22127	2024-04-25	CAPMATIC	LACHINE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	41.382	3.6248	2.4165	1.2083
22128	2024-04-30	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22129	2024-05-01	SCOTTS CANADA LTD			1500.0	1100.0	400.0				
22130	2024-05-02	SCOTTS CANADA LTD			2400.0	2100.0	300.0				
22132	2024-05-02	SCOTTS CANADA LTD			2400.0	2000.0	400.0				
22133	2024-05-02	ENGRAIS McINNES	STANSTEAD,PQ	ST-DONAT,PQ	585.0	375.0	210.0	289.118	2.0234	1.297	0.7263
22134	2024-05-02	EMBALLAGES AT	MIRABEL,PQ	COURCELLES,PQ	220.0	160.0	60.0	288.1398377506441	0.7635	0.5553	0.2082
22135	2024-05-02	SCOTTS CANADA LTD	LACHINE,PQ	DELHI,ON	775.0	600.0	175.0	738.0103549207273	1.0501	0.813	0.2371
22136	2024-05-02	CAPMATIC	LE GARDEUR,PQ	MONTREAL-NORD,PQ	165.0	115.0	50.0	944.257729746171	0.1747	0.1218	0.053
22137	2024-05-06	SCOTTS CANADA LTD			2400.0	2100.0	300.0				
22138	2024-05-09	SCOTTS CANADA LTD			2400.0	2100.0	300.0				
22139	2024-05-10	CAPMATIC			5990.0	5200.0	790.0				
22140	2024-05-30	THEATRIXX TECHNOLOGIES	MONTREAL,PQ	LAS VEGAS,NV	8245.0	6800.0	1445.0	4166.322	1.979	1.6321	0.3468
22141	2024-05-07	SCOTTS CANADA LTD	LACHINE,PQ	DELHI,ON	750.0	550.0	200.0	738.0103549207273	1.0162	0.7452	0.271
22142	2024-05-09	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22143	2024-05-08	DEXTER	LONGUEUIL,PQ	L'ISLE-VERTE,PQ	995.0	750.0	245.0	447.68	2.2226	1.6753	0.5473
22144	2024-05-14	SCOTTS CANADA LTD			2400.0	2100.0	300.0				
22145	2024-05-15	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22146	2024-05-17	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22147	2024-05-14	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	18.765	7.9936	5.3291	2.6645
22148	2024-05-14	EMBALLAGES AT	LANDRIENNE,PQ	MIRABEL,PQ	1700.0	1500.0	200.0	524.3974424244166	3.2418	2.8604	0.3814
22149	2024-05-15	SCOTTS CANADA LTD	DELHI,ON	MIRAMICHI,NB	3350.0	3000.0	350.0	1514.446	2.212	1.9809	0.2311
22150	2024-05-22	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22151	2024-05-24	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22152	2024-05-21	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	250.0	145.0	105.0	18.765	13.3227	7.7272	5.5955
22153	2024-05-22	SCOTTS DELHI	DELHI,ON	MIRAMICHI,NB	3350.0	3000.0	350.0	1514.446	2.212	1.9809	0.2311
